"특성별(1)",특성별(2),특성별(3),특성별(4),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),특성별(3),특성별(4),방문 고객수,방문 고객수,방문 고객수,방문 고객수,방문 고객수,방문 고객수,배달 수,배달 수,배달 수,배달 수,배달 수,배달 수,배달 수,테이크아웃 수,테이크아웃 수,테이크아웃 수,테이크아웃 수,테이크아웃 수,테이크아웃 수,테이크아웃 수
"특성별(1)",특성별(2),특성별(3),특성별(4),20명 미만 (%),20~30명 미만 (%),30~50명 미만 (%),50~100명 미만 (%),100명 이상 (%),평균 (명),없음 (%),10인분 미만 (%),10~20인분 미만 (%),20~30인분 미만 (%),30~50인분 미만 (%),50인분 이상 (%),평균 (인분),없음 (%),10인분 미만 (%),10~20인분 미만 (%),20~30인분 미만 (%),30~50인분 미만 (%),50인분 이상 (%),평균 (인분)
"전체",소계,소계,소계,30.6,18.3,25,20.5,5.6,43.8,61.6,15.9,9.2,5.4,5.1,2.7,8.9,48.5,27.6,10.1,4.8,4.6,4.6,11.3
"업종별",일반음식점,소계,소계,27.9,17.8,26.7,22.7,4.8,43.4,59.8,21,7.8,4.5,4.6,2.4,7.6,57.3,30.1,8.1,2.7,1.5,0.4,4.8
"업종별",일반음식점,한식,소계,27.5,17.9,26,23.9,4.8,43.6,63.1,21.9,6.9,3.4,3.6,1.1,5.7,59.8,27.7,7.9,2.8,1.5,0.3,4.7
"업종별",일반음식점,중식,소계,30.7,15.6,27.5,18.3,7.9,45.3,27.2,7.9,10.6,14.3,20,20,31.5,57.9,31.4,6.6,2.1,0.7,1.3,4.9
"업종별",일반음식점,일식,소계,32.7,19,29.7,15.9,2.7,39.1,47.4,31.4,11.8,6.7,1.7,1,7.4,30.3,55,9.8,1.9,2.6,0.5,6.4
"업종별",일반음식점,서양식,소계,28.5,20.6,36,10.2,4.7,39.9,58.7,15.8,15.2,6.3,2.2,1.8,7.5,36.5,43.9,14.7,3.2,1.8,0,6.6
"업종별",일반음식점,기타 외국식,소계,22.9,15.6,30.4,28.9,2.2,43.6,59.9,14.8,14.3,9.6,1.3,0,6.6,41.6,50.6,5.3,1.1,0.2,1.1,5.3
"업종별",일반음식점 외,소계,소계,33.4,18.8,23.2,18.2,6.4,44.2,63.5,10.7,10.6,6.4,5.7,3.1,10.2,39.3,24.9,12.1,7,7.7,8.9,18
"업종별",일반음식점 외,기관 구내식당업,소계,0,0.7,15,32.4,51.9,181.8,100,0,0,0,0,0,0,100,0,0,0,0,0,0
"업종별",일반음식점 외,출장·이동음식점업,소계,25.6,3.1,0,30.7,40.6,124.7,45,10.6,7.5,3.1,0,33.8,37.2,65.3,0,0,0,4.4,30.3,34.5
"업종별",일반음식점 외,기타 음식점업,제과점,36,13.7,13.5,26.3,10.4,47.6,56.1,18.5,13.5,4.9,3.7,3.4,13.3,3,11,11.2,15.4,23.9,35.6,55.1
"업종별",일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,22.4,24.7,26.7,17.7,8.5,48,13.4,13.6,33.7,19.4,8.9,11,28,2.9,42,19.3,10.9,12.1,12.9,27.5
"업종별",일반음식점 외,기타 음식점업,치킨전문점,64.7,16.7,12.4,5.3,0.9,21.5,10.2,14.6,20.1,21.7,25.8,7.5,27.6,6.2,70.7,14.9,6.1,1.5,0.6,10.2
"업종별",일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,16.4,16.9,31.8,30.3,4.6,47,53.5,18.7,13.2,5.3,6.5,2.8,10.9,17.4,24.8,22.4,14.5,8,12.9,24.5
"업종별",일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,27.8,28,19.3,18.9,5.9,41.1,63.5,10.1,6.7,3.7,10.2,5.9,17.8,24.1,20.3,8.5,10.9,14.2,22,34.1
"업종별",일반음식점 외,주점업,소계,44.2,23.9,20,9,2.9,31.7,89,5.5,1.7,0.6,1.6,1.6,3,87,11.1,0.7,1,0.2,0,1.1
"업종별",일반음식점 외,비알코올 음료점업,소계,23.1,16,30.2,24.4,6.4,47.4,69,10.1,11.6,5.8,2.1,1.3,6.7,19.1,25.5,19.7,8.4,14.2,13.1,26.9
"운영형태별",프랜차이즈,소계,소계,30,14.7,21.6,24.9,8.8,52.2,35.8,18.6,18,11.5,9.7,6.4,18.5,22.4,35.1,13.3,9.2,8.7,11.3,23.1
"운영형태별",비프랜차이즈,소계,소계,30.8,19.3,25.9,19.3,4.7,41.4,68.8,15.2,6.7,3.7,3.8,1.7,6.2,55.7,25.5,9.2,3.5,3.4,2.7,8
"지역별",서울권,소계,소계,22.5,20.2,24.5,24.5,8.3,51.4,67.5,15.2,6.9,3.3,4.2,2.8,8.1,44.5,31.9,6.8,5,5,6.8,13.5
"지역별",수도권,소계,소계,27.9,14.4,26.9,22.4,8.4,49.2,70.6,9.4,6.9,6.4,4.6,2.2,7.4,55.2,21.7,7.8,5.4,5.9,4,10.4
"지역별",충청권,소계,소계,13.7,21.1,34.9,27.1,3.1,48,55.2,11.3,11.1,8,9.9,4.5,13.3,35,29.8,18.4,7.7,4,5,13.9
"지역별",호남권,소계,소계,47.5,20.2,19.8,10.3,2.3,28.6,56,30.2,4.5,4.2,3.4,1.8,5.9,69.1,17.8,5.6,0.5,3,4.1,7.6
"지역별",경남권,소계,소계,57.9,17.4,14.1,7.1,3.4,28.9,47.4,31,11.9,5,3.1,1.6,8,53.4,29.9,7.8,2.4,2.9,3.6,9.7
"지역별",경북권,소계,소계,38.8,17.2,22.5,18.3,3.1,36.5,59.5,14,13.9,5.5,4.4,2.7,9.4,48.2,28.2,13.2,4,4.4,2,8.6
"매출액규모별",5천만원 미만,소계,소계,80.2,14.9,4.5,0.2,0.1,14.4,73.3,21.8,3.6,1.2,0.2,0,1.9,66.9,23.2,6.8,1.2,1.1,0.8,3.9
"매출액규모별",5천만원~1억원 미만,소계,소계,44.5,24.4,25.3,5.7,0.1,26,67.1,17.8,9,4.4,1.3,0.3,4.5,55.1,26.4,7.4,4,4.6,2.6,7.6
"매출액규모별",1억원~5억원 미만,소계,소계,18.6,17.7,29.7,28.6,5.5,47.2,58.3,14.5,10.2,6.6,7.3,3.1,10.2,43.3,28.7,11.7,5.9,5.1,5.4,12.8
"매출액규모별",5억원 이상,소계,소계,5.3,6.8,13.6,32.6,41.7,139.1,51.1,12.7,10.1,4.6,7,14.4,26.6,41.1,28.2,10.2,3.1,5.7,11.7,24.3
